[2025-06-18 21:34:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:36:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:38:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:40:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:42:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:44:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:46:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:48:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:50:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:52:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:54:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:56:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 21:58:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:00:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:02:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:04:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:06:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:08:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:10:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:12:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:14:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:16:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:18:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:20:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:22:26] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:24:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:26:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:28:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:30:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:32:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:34:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:36:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:38:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:40:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:42:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:44:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:46:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:48:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:50:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:52:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

[2025-06-18 22:54:27] 🔁 Neues Training mit max_steps=26000000, learning_rate=0.00114, beta=0.1008, epsilon=0.226

