[2025-06-23 08:39:15] 🔁 Neues Training mit max_steps=49000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 08:59:15] 🔁 Neues Training mit max_steps=50000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 09:19:17] 🔁 Neues Training mit max_steps=51000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 09:39:17] 🔁 Neues Training mit max_steps=52000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 09:59:17] 🔁 Neues Training mit max_steps=53000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 10:19:17] 🔁 Neues Training mit max_steps=54000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 10:39:18] 🔁 Neues Training mit max_steps=55000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 10:59:18] 🔁 Neues Training mit max_steps=56000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 11:19:18] 🔁 Neues Training mit max_steps=57000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 11:39:18] 🔁 Neues Training mit max_steps=58000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 11:59:18] 🔁 Neues Training mit max_steps=59000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 12:19:18] 🔁 Neues Training mit max_steps=60000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 12:37:18] 🔁 Neues Training mit max_steps=61000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 12:59:18] 🔁 Neues Training mit max_steps=62000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 13:23:18] 🔁 Neues Training mit max_steps=63000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 13:45:18] 🔁 Neues Training mit max_steps=64000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 14:07:19] 🔁 Neues Training mit max_steps=65000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 14:29:19] 🔁 Neues Training mit max_steps=66000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 14:49:19] 🔁 Neues Training mit max_steps=67000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 20:41:40] 🔁 Neues Training mit max_steps=67000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 20:59:40] 🔁 Neues Training mit max_steps=68000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 21:17:40] 🔁 Neues Training mit max_steps=69000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 21:35:40] 🔁 Neues Training mit max_steps=70000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 21:53:40] 🔁 Neues Training mit max_steps=71000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 22:11:40] 🔁 Neues Training mit max_steps=72000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-23 22:29:41] 🔁 Neues Training mit max_steps=73000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

