[2025-06-18 01:04:08] 🔁 Neues Training mit max_steps=50000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 01:23:08] 🔁 Neues Training mit max_steps=51000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 01:41:08] 🔁 Neues Training mit max_steps=52000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 02:00:08] 🔁 Neues Training mit max_steps=53000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 02:19:08] 🔁 Neues Training mit max_steps=54000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 02:38:08] 🔁 Neues Training mit max_steps=55000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 02:57:08] 🔁 Neues Training mit max_steps=56000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 03:16:09] 🔁 Neues Training mit max_steps=57000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 03:34:09] 🔁 Neues Training mit max_steps=58000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 03:53:09] 🔁 Neues Training mit max_steps=59000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 04:12:09] 🔁 Neues Training mit max_steps=60000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 04:31:09] 🔁 Neues Training mit max_steps=61000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 04:49:09] 🔁 Neues Training mit max_steps=62000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 05:08:10] 🔁 Neues Training mit max_steps=63000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 05:27:10] 🔁 Neues Training mit max_steps=64000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 05:46:10] 🔁 Neues Training mit max_steps=65000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 06:05:10] 🔁 Neues Training mit max_steps=66000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 06:24:10] 🔁 Neues Training mit max_steps=67000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 06:43:11] 🔁 Neues Training mit max_steps=68000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 07:02:11] 🔁 Neues Training mit max_steps=69000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 07:21:11] 🔁 Neues Training mit max_steps=70000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 07:40:11] 🔁 Neues Training mit max_steps=71000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 07:59:11] 🔁 Neues Training mit max_steps=72000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 08:18:11] 🔁 Neues Training mit max_steps=73000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 08:37:12] 🔁 Neues Training mit max_steps=74000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 08:56:12] 🔁 Neues Training mit max_steps=75000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 09:15:12] 🔁 Neues Training mit max_steps=76000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 09:34:12] 🔁 Neues Training mit max_steps=77000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 09:53:12] 🔁 Neues Training mit max_steps=78000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 10:12:12] 🔁 Neues Training mit max_steps=79000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 10:31:13] 🔁 Neues Training mit max_steps=80000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

[2025-06-18 10:48:35] 🔁 Neues Training mit max_steps=81000000, learning_rate=0.00114, beta=0.082848, epsilon=0.20356

